Date,Open,High,Low,Close,Adj Close,Volume
2015-11-06,808.549988,816.000000,800.000000,801.200012,779.494080,918564
2015-11-09,790.900024,818.400024,784.250000,816.400024,794.282410,1163084
2015-11-10,814.700012,816.000000,796.799988,797.799988,776.186279,751899
2015-11-13,807.000000,808.000000,792.500000,800.400024,778.715820,765985
2015-11-16,796.000000,809.950012,795.200012,800.950012,779.250916,604535
2015-11-17,807.450012,813.250000,800.349976,807.650024,785.769470,500272
2015-11-18,807.950012,824.500000,807.000000,821.750000,799.487366,1253226
2015-11-19,827.000000,833.799988,819.099976,823.700012,801.384521,1038035
2015-11-20,821.400024,831.799988,818.549988,829.200012,806.735535,712339
2015-11-23,838.200012,852.000000,835.000000,850.299988,827.263916,1475762
2015-11-24,850.000000,861.750000,846.200012,856.599976,833.393250,771337
2015-11-26,861.000000,865.950012,851.799988,861.849976,838.500977,678200
2015-11-27,862.599976,864.000000,852.000000,859.099976,835.825439,444323
2015-11-30,859.000000,859.000000,834.000000,838.500000,815.783508,1679737
2015-12-01,843.000000,848.000000,831.650024,844.599976,821.718323,720255
2015-12-02,847.950012,867.200012,844.799988,848.549988,825.561340,980956
2015-12-03,849.000000,849.200012,839.000000,842.400024,819.578003,540473
2015-12-04,841.500000,841.500000,829.450012,834.700012,812.086548,779530
2015-12-07,842.000000,873.849976,841.000000,871.450012,847.841003,1602605
2015-12-08,874.049988,877.400024,857.200012,860.750000,837.430786,1058074
2015-12-09,866.450012,866.450012,836.950012,840.000000,817.242920,751034
2015-12-10,844.500000,861.200012,842.200012,859.200012,835.922852,636140
2015-12-11,860.950012,863.549988,848.750000,858.400024,835.144531,780634
2015-12-14,860.000000,878.400024,853.000000,875.450012,851.732605,889790
2015-12-15,878.500000,880.000000,866.450012,878.549988,854.748596,861784
2015-12-16,880.000000,883.950012,859.099976,866.500000,843.025024,900351
2015-12-17,871.500000,878.500000,864.000000,876.099976,852.364929,716229
2015-12-18,874.500000,885.900024,868.000000,879.450012,855.624268,1098597
2015-12-21,879.000000,884.000000,866.700012,873.500000,849.835388,896692
2015-12-22,874.000000,887.000000,873.549988,880.950012,857.083435,663204
2015-12-23,882.950012,883.950012,874.750000,878.950012,855.137695,350212
2015-12-24,880.500000,883.900024,873.549988,881.799988,857.910522,403140
2015-12-28,882.000000,886.250000,876.750000,881.049988,857.180908,633270
2015-12-29,883.700012,885.000000,878.599976,880.099976,856.256592,602111
2015-12-30,881.150024,883.000000,875.000000,878.150024,854.359375,450359
2015-12-31,879.950012,886.950012,875.000000,883.549988,859.613159,526825
2016-01-01,882.000000,885.599976,876.900024,878.750000,854.943115,294006
2016-01-04,876.200012,892.450012,871.700012,880.799988,856.937622,709103
2016-01-05,881.299988,905.000000,881.299988,900.650024,876.249878,1372748
2016-01-06,904.500000,911.900024,884.000000,886.400024,862.385925,1716479
2016-01-07,883.000000,891.549988,869.000000,872.349976,848.716553,990333
2016-01-08,879.000000,881.950012,866.599976,874.599976,850.905518,886022
2016-01-11,870.000000,884.000000,861.599976,873.849976,850.175781,801102
2016-01-12,882.000000,885.500000,870.200012,872.900024,849.251709,998419
2016-01-13,879.950012,883.500000,850.049988,868.549988,845.019409,901426
2016-01-14,863.500000,897.000000,851.099976,889.400024,865.304565,2296682
2016-01-15,893.000000,894.950012,874.299988,879.250000,855.429565,1301590
2016-01-18,890.000000,893.000000,841.650024,850.299988,827.263916,2335330
