"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","01-Oct-2018","       1293.30","       1299.00","       1307.90","       1269.00","       1279.00","       1279.80","       1283.76","    1143818","          1468392333.25","      42550","     554186","         48.45"
"ASIANPAINT","EQ","03-Oct-2018","       1279.80","       1264.90","       1269.00","       1246.15","       1248.55","       1251.75","       1258.39","    1236645","          1556182463.65","      85778","     564835","         45.67"
"ASIANPAINT","EQ","04-Oct-2018","       1251.75","       1228.00","       1239.20","       1214.00","       1227.00","       1224.70","       1225.60","    1557441","          1908803630.35","     168518","     954944","         61.31"
"ASIANPAINT","EQ","05-Oct-2018","       1224.70","       1221.45","       1240.00","       1191.85","       1197.45","       1209.50","       1214.35","    1344685","          1632914325.10","      59924","     760754","         56.57"
"ASIANPAINT","EQ","08-Oct-2018","       1209.50","       1210.00","       1254.00","       1201.10","       1243.55","       1247.80","       1233.41","    1050759","          1296013644.30","      57672","     452425","         43.06"
"ASIANPAINT","EQ","09-Oct-2018","       1247.80","       1254.00","       1255.90","       1191.00","       1203.40","       1201.40","       1213.61","    1088738","          1321305717.70","      35721","     355837","         32.68"
"ASIANPAINT","EQ","10-Oct-2018","       1201.40","       1205.90","       1240.85","       1180.90","       1226.00","       1225.95","       1218.80","     803576","           979398075.65","      32114","     201696","         25.10"
"ASIANPAINT","EQ","11-Oct-2018","       1225.95","       1201.00","       1221.50","       1190.45","       1220.00","       1219.05","       1209.59","     781348","           945109320.15","      74864","     326222","         41.75"
"ASIANPAINT","EQ","12-Oct-2018","       1219.05","       1233.90","       1265.95","       1233.90","       1260.00","       1261.20","       1253.24","    1000950","          1254431496.80","      40077","     457051","         45.66"
"ASIANPAINT","EQ","15-Oct-2018","       1261.20","       1255.00","       1257.20","       1241.50","       1250.00","       1250.30","       1249.19","     728514","           910055611.30","      38663","     399055","         54.78"
"ASIANPAINT","EQ","16-Oct-2018","       1250.30","       1257.00","       1282.90","       1252.55","       1265.00","       1267.60","       1269.24","     908616","          1153251045.35","      38059","     429431","         47.26"
"ASIANPAINT","EQ","17-Oct-2018","       1267.60","       1282.20","       1282.25","       1255.00","       1260.00","       1259.00","       1267.59","     698043","           884831111.80","      27346","     365001","         52.29"
"ASIANPAINT","EQ","19-Oct-2018","       1259.00","       1264.00","       1287.00","       1220.45","       1238.00","       1235.40","       1257.57","    1449043","          1822269153.85","      58181","     531462","         36.68"
"ASIANPAINT","EQ","22-Oct-2018","       1235.40","       1245.00","       1247.15","       1191.00","       1196.90","       1200.40","       1219.12","    1949683","          2376902992.75","      81549","     738911","         37.90"
"ASIANPAINT","EQ","23-Oct-2018","       1200.40","       1135.20","       1190.00","       1118.00","       1142.45","       1138.45","       1138.23","    8272850","          9416445239.00","     283034","    3038258","         36.73"
"ASIANPAINT","EQ","24-Oct-2018","       1138.45","       1160.00","       1199.00","       1150.15","       1191.80","       1186.90","       1174.59","    2370198","          2784016347.15","      86295","     857889","         36.19"
"ASIANPAINT","EQ","25-Oct-2018","       1186.90","       1180.50","       1208.95","       1175.00","       1199.00","       1200.05","       1196.01","    1995349","          2386460338.35","      80449","     956074","         47.92"
"ASIANPAINT","EQ","26-Oct-2018","       1200.05","       1200.00","       1202.00","       1168.35","       1192.20","       1190.30","       1184.27","    1440249","          1705646248.70","      58132","     846633","         58.78"
"ASIANPAINT","EQ","29-Oct-2018","       1190.30","       1194.80","       1213.70","       1186.50","       1193.00","       1196.05","       1197.73","    1186190","          1420732811.00","      47610","     559670","         47.18"
"ASIANPAINT","EQ","30-Oct-2018","       1196.05","       1194.80","       1208.00","       1175.55","       1197.50","       1196.30","       1198.70","    1075337","          1289002088.20","      55316","     537449","         49.98"
"ASIANPAINT","EQ","31-Oct-2018","       1196.30","       1205.60","       1234.95","       1183.85","       1230.30","       1230.40","       1209.89","    1561884","          1889703614.05","      73520","     897319","         57.45"
"ASIANPAINT","EQ","01-Nov-2018","       1230.40","       1233.00","       1244.80","       1213.80","       1217.80","       1217.80","       1227.82","    1200280","          1473725429.70","      41757","     519957","         43.32"
"ASIANPAINT","EQ","02-Nov-2018","       1217.80","       1242.00","       1291.55","       1241.25","       1252.60","       1247.00","       1262.27","    2235848","          2822254965.00","      94737","     900124","         40.26"
"ASIANPAINT","EQ","05-Nov-2018","       1247.00","       1252.00","       1260.65","       1232.50","       1239.95","       1244.05","       1245.98","     756887","           943068504.00","      46505","     291462","         38.51"
"ASIANPAINT","EQ","06-Nov-2018","       1244.05","       1242.20","       1255.00","       1235.00","       1236.00","       1238.50","       1242.64","     815046","          1012806238.80","      30739","     422432","         51.83"
"ASIANPAINT","EQ","07-Nov-2018","       1238.50","       1250.00","       1254.00","       1239.20","       1252.00","       1250.95","       1249.75","     100134","           125142323.55","       4256","      35038","         34.99"
"ASIANPAINT","EQ","09-Nov-2018","       1250.95","       1259.80","       1308.90","       1256.85","       1295.00","       1295.60","       1291.55","    2026920","          2617870187.60","      81743","     886251","         43.72"
"ASIANPAINT","EQ","12-Nov-2018","       1295.60","       1295.00","       1314.90","       1275.15","       1281.00","       1278.80","       1292.98","    1100286","          1422645389.15","      36768","     380417","         34.57"
"ASIANPAINT","EQ","13-Nov-2018","       1278.80","       1277.45","       1295.60","       1277.45","       1284.25","       1284.90","       1286.15","    1632176","          2099226827.25","      81733","    1033020","         63.29"
"ASIANPAINT","EQ","14-Nov-2018","       1284.90","       1312.00","       1337.95","       1302.00","       1318.00","       1320.55","       1324.43","    1631802","          2161210280.55","      56785","     666028","         40.82"
"ASIANPAINT","EQ","15-Nov-2018","       1320.55","       1320.00","       1331.85","       1313.40","       1315.95","       1318.30","       1319.77","    1065640","          1406402591.80","      47448","     682548","         64.05"
"ASIANPAINT","EQ","16-Nov-2018","       1318.30","       1320.00","       1329.80","       1313.20","       1323.90","       1321.30","       1321.01","    1113304","          1470687397.70","      45399","     715686","         64.28"
"ASIANPAINT","EQ","19-Nov-2018","       1321.30","       1329.00","       1329.85","       1305.00","       1320.00","       1312.15","       1311.22","     784645","          1028842257.75","      29264","     471011","         60.03"
"ASIANPAINT","EQ","20-Nov-2018","       1312.15","       1317.00","       1331.05","       1304.70","       1307.25","       1306.85","       1316.92","     867729","          1142729401.15","      32532","     273096","         31.47"
"ASIANPAINT","EQ","21-Nov-2018","       1306.85","       1329.00","       1342.50","       1313.75","       1325.50","       1324.20","       1327.75","    1374789","          1825380194.30","      55354","     602724","         43.84"
"ASIANPAINT","EQ","22-Nov-2018","       1324.20","       1330.00","       1330.70","       1308.75","       1317.75","       1314.40","       1316.86","     691593","           910731432.75","      23393","     387034","         55.96"
"ASIANPAINT","EQ","26-Nov-2018","       1314.40","       1329.95","       1357.55","       1323.60","       1349.55","       1349.50","       1345.32","    2149117","          2891258385.75","      84229","    1059709","         49.31"
"ASIANPAINT","EQ","27-Nov-2018","       1349.50","       1346.80","       1346.80","       1326.05","       1338.80","       1339.60","       1333.91","    1130756","          1508324920.20","      56705","     589111","         52.10"
"ASIANPAINT","EQ","28-Nov-2018","       1339.60","       1352.90","       1354.55","       1319.15","       1325.50","       1324.25","       1335.67","    1205630","          1610323171.80","      56632","     652982","         54.16"
